scale_id,dx_label,n_merge,n_cells_total,n_cells_with_samples,n_samples,dx_m,dx_median_m,mean_abs_S_sgs,median_abs_S_sgs,var_S_sgs,std_S_sgs,mean_S_sgs,mean_snap_dist_m,lattice_source
native,Native NHDPlus HR,1,536,39,120,838.2836492914445,680.2372072851668,1.9160326860359087,0.5217825502951146,22.404809604460084,4.7333719064172515,0.6191657150528006,10.49259846094758,nhdplus_hr_huc14020001_flowlines.gpkg
merge_2x,~2× merge,2,270,30,120,1183.3165830953346,1076.473550047148,1.1195923048913792,0.4758453138547211,3.467157416971433,1.8620304554360634,1.0025648305311567,23.81761223109298,nhdplus_hr_huc14020001_flowlines.gpkg
merge_4x,~4× merge,4,137,24,120,1948.9747950288345,1668.1665800818357,1.0500036604770921,0.514026130732061,2.894079536454712,1.7011994405285678,1.0451722627967024,70.18963579711887,nhdplus_hr_huc14020001_flowlines.gpkg
study_reach,Study-reach scale,0,7,6,120,26085.585970645174,5831.0255435391555,0.999978510111423,0.518874355824871,2.1973240297936525,1.4823373535715993,0.999978510111423,871.7491582053112,nhdplus_hr_huc14020001_flowlines.gpkg
