feature,coef_standardized_Sstar,coef_original_Sstar,coef_standardized_Ssgs,coef_original_Ssgs
Fr,1.5357436409945102,1.3273960942966299,0.8482738348001747,0.7331922758140866
Slope,-1.6688707225737909,-38.802330567331914,-0.6706980525022842,-15.594166277854791
h_over_W,-2.178808366382076,-349.01723831733136,-0.5667929199624687,-90.79297779253491
log10_Re,-0.0,-0.0,0.0,0.0
log10_Da,0.0,0.0,-8.580133834166226e-05,-0.00013721222076294536
