n,n_reaches,rmse_c,mae_c,bias_c,r2_c,rmse_f,mae_f,bias_f,flux_total_mol_m2d,flux_obs_proxy_total,scheme,model,cv_protocol,subgroup,subgroup_label,evidence_weight
120,8,0.02836452783309524,0.013226397914714664,-0.013226397914714664,-0.26448616040058437,1.7327565221304961,0.9729492404191947,-0.9729492404191947,3.2435123630674023,119.99742121337076,baseline,none,loo_date,all_120,All 120 samples,all
58,1,0.013604074555791101,0.009896170313606322,-0.009896170313606322,-0.7879859874782849,1.7095663491017932,1.304067014708965,-1.304067014708965,3.2060795832804976,78.84196643640047,baseline,none,loo_date,R008_only,R008 East River mainstem,mainstem
25,2,0.006898325078940315,0.005974207284603572,-0.005974207284603572,-2.984164603740537,0.6452158602756461,0.5535626067819381,-0.5535626067819381,0.026573848731939062,13.865639018280389,baseline,none,loo_date,R004_R006,R004+R006（Copper + Quigley）,requested
59,4,0.03812590552918928,0.016967921322370384,-0.016967921322370384,-0.24681062032588774,1.7972518727346942,0.684052981066163,-0.684052981066163,0.03502190265638102,40.39414778555998,baseline,none,loo_date,multi_sample_tributaries,Multi-sample tribs R002–R005,tributary
3,3,0.004081178276780438,0.004027504518913478,-0.004027504518913478,-37.47520211638249,0.2613328238904493,0.2529653714265929,-0.2529653714265929,0.0024108771305235204,0.7613069914103023,baseline,none,loo_date,one_sample_reaches_schematic,One-sample reaches (schematic) R001/R006/R007,schematic
120,8,0.028364527833095243,0.013226397914714664,-0.013226397914714664,-0.26448616040058504,1.7327565221304964,0.9729492404191947,-0.9729492404191947,3.243512363067402,119.99742121337077,baseline,none,loo_reach,all_120,All 120 samples,all
58,1,0.013604074555791101,0.009896170313606322,-0.009896170313606322,-0.7879859874782849,1.7095663491017932,1.304067014708965,-1.304067014708965,3.2060795832804976,78.84196643640047,baseline,none,loo_reach,R008_only,R008 East River mainstem,mainstem
25,2,0.0068983250789403155,0.005974207284603572,-0.005974207284603572,-2.9841646037405383,0.6452158602756461,0.5535626067819381,-0.5535626067819381,0.02657384873193906,13.86563901828039,baseline,none,loo_reach,R004_R006,R004+R006（Copper + Quigley）,requested
59,4,0.03812590552918928,0.016967921322370384,-0.016967921322370384,-0.24681062032588774,1.7972518727346942,0.6840529810661627,-0.6840529810661627,0.03502190265638101,40.394147785559994,baseline,none,loo_reach,multi_sample_tributaries,Multi-sample tribs R002–R005,tributary
3,3,0.004081178276780438,0.004027504518913478,-0.004027504518913478,-37.4752021163825,0.2613328238904493,0.2529653714265929,-0.2529653714265929,0.0024108771305235204,0.7613069914103022,baseline,none,loo_reach,one_sample_reaches_schematic,One-sample reaches (schematic) R001/R006/R007,schematic
120,8,0.024437261490407473,0.004625841147474016,-0.004606459191081995,0.06142704599072302,1.7826522324868628,0.999717958630861,-0.999717958630861,0.03126617766746537,119.99742121337076,k_correction,xgboost,loo_date,all_120,All 120 samples,all
58,1,0.0006247318852162026,0.00025817357129182564,-0.0002180729718600588,0.9962293740818271,1.812424268143283,1.358898901226339,-1.358898901226339,0.025830165272810856,78.84196643640047,k_correction,xgboost,loo_date,R008_only,R008 East River mainstem,mainstem
25,2,0.0010245349363238738,0.0008980971216017556,-0.0008980971216017556,0.912117277034395,0.6462884269883674,0.55446725808592,-0.55446725808592,0.003957566132392005,13.865639018280389,k_correction,xgboost,loo_date,R004_R006,R004+R006（Copper + Quigley）,requested
59,4,0.0348453698628455,0.009127583313623438,-0.009127583313623438,-0.04147851560089877,1.7974206858946775,0.684558262393944,-0.684558262393944,0.005210304317289443,40.39414778555998,k_correction,xgboost,loo_date,multi_sample_tributaries,Multi-sample tribs R002–R005,tributary
3,3,0.0006177460069008205,0.0005331516860577838,-0.0005331516860577838,0.11848507273808806,0.26216497746679646,0.2536937611109791,-0.2536937611109791,0.00022570807736506507,0.7613069914103023,k_correction,xgboost,loo_date,one_sample_reaches_schematic,One-sample reaches (schematic) R001/R006/R007,schematic
120,8,0.024437261490407473,0.004625841147474015,-0.004606459191081994,0.061427045990722684,1.7826522324868628,0.9997179586308609,-0.9997179586308609,0.031266177667465374,119.99742121337077,k_correction,xgboost,loo_reach,all_120,All 120 samples,all
58,1,0.0006247318852162026,0.00025817357129182564,-0.0002180729718600588,0.9962293740818271,1.812424268143283,1.358898901226339,-1.358898901226339,0.025830165272810856,78.84196643640047,k_correction,xgboost,loo_reach,R008_only,R008 East River mainstem,mainstem
25,2,0.0010245349363238738,0.0008980971216017556,-0.0008980971216017556,0.912117277034395,0.6462884269883673,0.55446725808592,-0.55446725808592,0.003957566132392006,13.86563901828039,k_correction,xgboost,loo_reach,R004_R006,R004+R006（Copper + Quigley）,requested
59,4,0.0348453698628455,0.009127583313623436,-0.009127583313623436,-0.04147851560089877,1.7974206858946777,0.684558262393944,-0.684558262393944,0.005210304317289444,40.394147785559994,k_correction,xgboost,loo_reach,multi_sample_tributaries,Multi-sample tribs R002–R005,tributary
3,3,0.0006177460069008205,0.0005331516860577838,-0.0005331516860577838,0.11848507273808806,0.26216497746679646,0.2536937611109791,-0.2536937611109791,0.00022570807736506507,0.7613069914103022,k_correction,xgboost,loo_reach,one_sample_reaches_schematic,One-sample reaches (schematic) R001/R006/R007,schematic
120,8,0.05908048189878478,0.0324656829487854,0.01994500630260917,-4.485939596528781,1.5542624007065076,0.9218337480044966,-0.10722043971309918,107.13096844779886,119.99742121337076,residual_ai,mlp,loo_date,all_120,All 120 samples,all
58,1,0.010152584080334412,0.0064907136014902625,-0.00373791361310992,0.004183555270031891,1.2554492821862497,0.8504822869064695,-0.4578780128262769,52.285041692476405,78.84196643640047,residual_ai,mlp,loo_date,R008_only,R008 East River mainstem,mainstem
25,2,0.005501432158739598,0.003125422706103214,0.0006604703745666067,-1.5339700861606955,0.3722912530650682,0.25233674084884106,0.019142536058884333,14.3442024197525,13.865639018280389,residual_ai,mlp,loo_date,R004_R006,R004+R006（Copper + Quigley）,requested
59,4,0.08360146617890267,0.05915414412484734,0.04374362176731621,-4.994982865862938,1.8289655210608113,1.0142132861835154,0.20740641937652873,52.63112652877519,40.39414778555998,residual_ai,mlp,loo_date,multi_sample_tributaries,Multi-sample tribs R002–R005,tributary
3,3,0.013152305186633509,0.00977535386727321,0.00977535386727321,-398.58900766236206,0.6080425602524316,0.4844977450456543,0.4844977450456543,2.2148002265472653,0.7613069914103023,residual_ai,mlp,loo_date,one_sample_reaches_schematic,One-sample reaches (schematic) R001/R006/R007,schematic
120,8,0.05731673069957816,0.032587784238849525,0.01766808504970883,-4.1632812784233595,1.5621584129588038,1.0295628848803677,-0.4207525630410411,69.50711364844582,119.99742121337077,residual_ai,mlp,loo_reach,all_120,All 120 samples,all
58,1,0.012070441688234663,0.00854955209830739,-0.008211182985914249,-0.4075778653942923,1.5259447792077805,1.131971216463955,-1.0875450098976065,15.76435586233929,78.84196643640047,residual_ai,mlp,loo_reach,R008_only,R008 East River mainstem,mainstem
25,2,0.004868719616504838,0.003015269047258419,-0.001296729237206849,-0.9846297153856676,0.3744954866177172,0.25275431377574503,-0.15299548277739963,10.0407519488454,13.86563901828039,residual_ai,mlp,loo_reach,R004_R006,R004+R006（Copper + Quigley）,requested
59,4,0.080822029687819,0.057417178730950674,0.043548682666340016,-4.602987628208239,1.6305726645117506,0.95802816518104,0.1901313410861504,51.611896909642866,40.394147785559994,residual_ai,mlp,loo_reach,multi_sample_tributaries,Multi-sample tribs R002–R005,tributary
3,3,0.01117650890702693,0.00901551394467495,0.00901551394467495,-287.550688158384,0.5537658973869289,0.4565179616844606,0.4565179616844606,2.130860876463684,0.7613069914103022,residual_ai,mlp,loo_reach,one_sample_reaches_schematic,One-sample reaches (schematic) R001/R006/R007,schematic
120,8,0.0746529122618155,0.02931691738644566,0.017959101963297378,-7.759039249022312,2.0375808783383214,0.9768884158273917,0.15560274581240174,138.66975071085898,119.99742121337076,residual_ai,random_forest,loo_date,all_120,All 120 samples,all
58,1,0.007180973795906057,0.004696411738276864,-0.0023302475174638033,0.5018125440996715,0.8995022045983562,0.6181272007423885,-0.299337083083412,61.480415617562585,78.84196643640047,residual_ai,random_forest,loo_date,R008_only,R008 East River mainstem,mainstem
25,2,0.006085034469114361,0.003617571591801601,0.0021483760699944785,-2.1001024434378843,0.39372360373787985,0.2920829320926615,0.1527518186914668,17.68443448556706,13.865639018280389,residual_ai,random_forest,loo_date,R004_R006,R004+R006（Copper + Quigley）,requested
59,4,0.10617671734604844,0.054538679015833195,0.03834560081337835,-8.669827938392153,2.761675333088331,1.357154869131231,0.5886573786244113,75.12493312440026,40.39414778555998,residual_ai,random_forest,loo_date,multi_sample_tributaries,Multi-sample tribs R002–R005,tributary
