model,loo_reach_rmse,loo_reach_r2,loo_date_rmse,n,k_correction_rmse,loo_sample_cv
lasso,42.11798056662151,-790.6237056416627,1.2847969033044695,120.0,,
elasticnet,21.108815741948277,-197.84352300577072,1.2388718193122361,120.0,,
random_forest,2.1368391303993755,-1.0376395764931234,2.067603147255111,120.0,,
xgboost,2.054484192177102,-0.8836027647711528,1.9343293778955533,120.0,,
mlp,1.453039715807607,0.05780958634018496,1.6091763862195174,120.0,,
k_correction,,,,,3.522516806920704e-16,"{'rmse': 3.2402620262872736e-16, 'r2': -0.01687733816078585, 'bias': 4.632211489461523e-24, 'n': 120, 'n_groups': 120}"
